,Unnamed: 0,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,Event_name,Address,Event_type,Weight_Event_Type,Organizer,Respondents,Distance,DATEUTC,LC_HUMIDITY,LC_DWPTEMP,LC_WINDSPEED,weekday,Holiday,downseason,night_hour_sq,night_hour_cu,Weight_respondent,Event_Score_x,Total_Event_Score
1868,1868,2022-05-02 07:20:00,49.92533333333333,48.25083333333333,58.74070833333334,70.12561666666667,2022-05-01 23:20:00,12.333333333333332,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 07:20:00,63.84736842105263,5.176315789473684,0.0934736842105263,Sunday,0,0,152.1111111111111,1876.0370370370365,1,6.606417013072487,12.917407235096986
1870,1870,2022-05-02 07:40:00,50.73158333333333,48.83583333333333,59.023775,70.54108333333333,2022-05-01 23:40:00,12.666666666666668,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 07:40:00,60.1063829787234,5.516914893617022,0.1451063829787234,Sunday,0,0,160.44444444444449,2032.2962962962968,1,6.606417013072487,12.917407235096986
1872,1872,2022-05-02 19:00:00,46.5725,45.08016666666666,56.221041666666665,67.69355833333334,2022-05-02 11:00:00,0.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 19:00:00,52.194736842105264,5.8018947368421045,0.203,Monday,0,0,0.0,0.0,1,8.414653629365999,8.414653629365999
1873,1873,2022-05-02 19:20:00,45.2005,44.134,55.93545833333334,67.19950833333334,2022-05-02 11:20:00,0.3333333333333339,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 19:20:00,54.34920634920635,5.821640211640212,0.1926455026455026,Monday,0,0,0.11111111111111151,0.037037037037037236,1,8.414653629365999,8.414653629365999
1874,1874,2022-05-02 19:40:00,45.0125,43.897,55.09971666666667,66.53678333333333,2022-05-02 11:40:00,0.6666666666666661,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 19:40:00,55.629629629629626,5.711904761904762,0.1671957671957672,Monday,0,0,0.44444444444444364,0.2962962962962955,1,8.414653629365999,8.414653629365999
1875,1875,2022-05-02 20:00:00,46.33008333333333,45.019666666666666,55.67918333333333,67.22990833333333,2022-05-02 12:00:00,1.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 20:00:00,56.07936507936508,5.434550264550265,0.1353968253968254,Monday,0,0,1.0,1.0,1,8.414653629365999,8.414653629365999
1876,1876,2022-05-02 20:20:00,45.74641666666666,44.62558333333333,55.50294999999999,67.01188333333333,2022-05-02 12:20:00,1.333333333333334,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 20:20:00,57.09473684210526,5.2762631578947365,0.1051052631578947,Monday,0,0,1.7777777777777795,2.3703703703703733,1,8.414653629365999,8.414653629365999
1877,1877,2022-05-02 20:40:00,45.17916666666667,44.10783333333333,55.10994166666666,66.574525,2022-05-02 12:40:00,1.666666666666666,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 20:40:00,57.96842105263158,5.03578947368421,0.109157894736842,Monday,0,0,2.777777777777776,4.629629629629624,1,8.414653629365999,8.414653629365999
1878,1878,2022-05-02 21:00:00,45.2215,44.06008333333333,54.89775,66.23,2022-05-02 13:00:00,2.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 21:00:00,59.32105263157895,4.9681578947368426,0.1234736842105263,Monday,0,0,4.0,8.0,1,8.414653629365999,8.414653629365999
1879,1879,2022-05-02 21:20:00,44.58291666666667,43.61241666666667,53.87671666666667,65.32123333333332,2022-05-02 13:20:00,2.333333333333334,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 21:20:00,60.97883597883598,4.968412698412698,0.1313227513227513,Monday,0,0,5.444444444444447,12.703703703703713,1,8.414653629365999,8.414653629365999
1880,1880,2022-05-02 21:40:00,43.915,42.89183333333333,54.518141666666665,65.79044166666667,2022-05-02 13:40:00,2.666666666666666,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 21:40:00,63.12105263157895,5.080210526315789,0.0988421052631579,Monday,0,0,7.111111111111108,18.96296296296295,1,8.414653629365999,8.414653629365999
1881,1881,2022-05-02 22:00:00,44.62708333333333,43.449000000000005,54.499833333333335,65.78555833333333,2022-05-02 14:00:00,3.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 22:00:00,65.17894736842105,5.169684210526316,0.0973157894736842,Monday,0,0,9.0,27.0,1,8.414653629365999,8.414653629365999
1882,1882,2022-05-02 22:20:00,43.25408333333333,42.312916666666666,53.58368333333333,64.84004166666666,2022-05-02 14:20:00,3.333333333333334,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 22:20:00,66.33155080213903,5.057165775401069,0.0702673796791443,Monday,0,0,11.111111111111114,37.03703703703706,1,8.414653629365999,8.414653629365999
1883,1883,2022-05-02 22:40:00,43.815916666666666,42.79683333333333,53.853766666666665,65.14365833333333,2022-05-02 14:40:00,3.666666666666666,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 22:40:00,67.36842105263158,4.939842105263158,0.0574736842105263,Monday,0,0,13.44444444444444,49.29629629629627,1,8.414653629365999,8.414653629365999
1884,1884,2022-05-02 23:00:00,44.29225,42.81525,53.70773333333333,65.52629166666667,2022-05-02 15:00:00,4.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 23:00:00,68.40957446808511,4.807127659574468,0.0448936170212765,Monday,0,0,16.0,64.0,1,8.414653629365999,8.414653629365999
1885,1885,2022-05-02 23:20:00,43.986583333333336,42.41591666666667,52.60304166666667,64.55378333333333,2022-05-02 15:20:00,4.333333333333334,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 23:20:00,69.62765957446808,4.74531914893617,0.0315425531914893,Monday,0,0,18.777777777777782,81.37037037037041,1,8.414653629365999,8.414653629365999
1886,1886,2022-05-02 23:40:00,43.43983333333333,41.83591666666666,51.91133333333333,63.948883333333335,2022-05-02 15:40:00,4.666666666666666,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-02 23:40:00,70.67553191489361,4.609255319148936,0.0303191489361702,Monday,0,0,21.77777777777777,101.62962962962959,1,8.414653629365999,8.414653629365999
1887,1887,2022-05-03 00:00:00,43.37316666666667,41.678333333333335,50.956808333333335,63.233050000000006,2022-05-02 16:00:00,5.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 00:00:00,71.43548387096774,4.4114516129032255,0.0288709677419354,Monday,0,0,25.0,125.0,1,8.414653629365999,8.414653629365999
1888,1888,2022-05-03 00:20:00,43.69241666666667,41.95425,52.41193333333333,64.34675,2022-05-02 16:20:00,5.333333333333332,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 00:20:00,71.7379679144385,4.170909090909091,0.0460962566844919,Monday,0,0,28.444444444444432,151.7037037037036,1,8.414653629365999,8.414653629365999
1889,1889,2022-05-03 00:40:00,43.61816666666667,41.991416666666666,53.22504166666667,64.97800000000001,2022-05-02 16:40:00,5.666666666666668,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 00:40:00,72.09574468085107,3.97686170212766,0.0352127659574468,Monday,0,0,32.11111111111112,181.96296296296308,1,8.414653629365999,8.414653629365999
1890,1890,2022-05-03 01:00:00,43.313,41.90141666666666,53.0044,64.41120833333333,2022-05-02 17:00:00,6.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 01:00:00,72.66489361702128,3.809787234042554,0.0322340425531914,Monday,0,0,36.0,216.0,1,8.414653629365999,8.414653629365999
1891,1891,2022-05-03 01:20:00,42.380833333333335,41.138666666666666,52.7552,64.17897500000001,2022-05-02 17:20:00,6.333333333333332,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 01:20:00,73.66137566137566,3.6944973544973534,0.0379365079365079,Monday,0,0,40.11111111111109,254.0370370370369,1,8.414653629365999,8.414653629365999
1892,1892,2022-05-03 01:40:00,43.692083333333336,42.14925,53.7128,65.20511666666667,2022-05-02 17:40:00,6.666666666666668,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 01:40:00,74.46842105263158,3.5854736842105264,0.0399473684210526,Monday,0,0,44.44444444444446,296.2962962962965,1,8.414653629365999,8.414653629365999
1893,1893,2022-05-03 02:00:00,44.070166666666665,42.38191666666667,53.37065833333333,64.9282,2022-05-02 18:00:00,7.0,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 02:00:00,75.91005291005291,3.5831746031746032,0.03,Monday,0,0,49.0,343.0,1,8.414653629365999,8.414653629365999
1894,1894,2022-05-03 02:20:00,43.16416666666667,41.34316666666667,53.37419166666667,65.10126666666667,2022-05-02 18:20:00,7.333333333333332,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 02:20:00,77.20212765957447,3.5780319148936166,0.0463829787234042,Monday,0,0,53.77777777777776,394.37037037037015,1,8.414653629365999,8.414653629365999
1895,1895,2022-05-03 02:40:00,43.59825,41.78225,53.809425,65.37213333333334,2022-05-02 18:40:00,7.666666666666668,02-05-2022,sportcantus,"Tiensestraat 53, Leuven",Cantus,4.0,VRG,37.0,0.4753612182016076,2022-05-03 02:40:00,78.67894736842105,3.645894736842105,0.0316315789473684,Monday,0,0,58.77777777777779,450.62962962962985,1,8.414653629365999,8.414653629365999
